volume,day,type,tx_count,avg_volume,min_volume,max_volume
411.55,01/02/21,Lend,1,411.55222689,411.55222689,411.55222689
,01/02/21,Spot Trade,7,,,
,31/01/21,Lend,2,,,
,31/01/21,Spot Trade,2,,,
411.55,31/01/21,UnLend,3,137.184076186667,411.55222856,411.55222856
,30/01/21,Close Margin Trade,1,,,
,30/01/21,Lend,1,,,
,30/01/21,Spot Trade,4,,,
1.03,30/01/21,UnLend,2,0.515022995,1.03004599,1.03004599
,29/01/21,Close Margin Trade,3,,,
,29/01/21,Spot Trade,6,,,
,28/01/21,Lend,5,,,
,28/01/21,UnLend,2,,,
,27/01/21,Close Borrow,1,,,
134.36,27/01/21,Lend,2,67.181717205,134.36343441,134.36343441
,27/01/21,Spot Trade,3,,,
,27/01/21,UnLend,2,,,
,26/01/21,Close Margin Trade,1,,,
,26/01/21,Spot Trade,1,,,
,26/01/21,UnLend,3,,,
,25/01/21,Close Margin Trade,3,,,
,25/01/21,Lend,7,,,
0.03,25/01/21,Spot Trade,5,0.005856418,0.02928209,0.02928209
,25/01/21,UnLend,10,,,
,24/01/21,Borrow,1,,,
,24/01/21,UnLend,1,,,
,23/01/21,Spot Trade,1,,,
,23/01/21,UnLend,2,,,
,22/01/21,Close Margin Trade,1,,,
411.36,22/01/21,Lend,2,205.682200895,411.36440179,411.36440179
,22/01/21,Spot Trade,1,,,
,22/01/21,UnLend,4,,,
,21/01/21,Close Borrow,1,,,
,21/01/21,Close Margin Trade,1,,,
,21/01/21,Spot Trade,4,,,
,21/01/21,UnLend,4,,,
,20/01/21,Lend,1,,,
,20/01/21,Spot Trade,4,,,
9.07,19/01/21,Lend,3,3.02311314333333,9.06933943,9.06933943
,18/01/21,Borrow,2,,,
644.34,18/01/21,Close Margin Trade,2,322.17204498,644.34408996,644.34408996
,18/01/21,Lend,1,,,
,18/01/21,Margin Trade,1,,,
511.25,18/01/21,Spot Trade,6,85.2076835133333,511.24610108,511.24610108
,18/01/21,UnLend,2,,,
,17/01/21,Close Margin Trade,1,,,
,17/01/21,Lend,1,,,
,17/01/21,Margin Trade,1,,,
1,17/01/21,Spot Trade,4,0.2494197475,0.99767899,0.99767899
,17/01/21,UnLend,3,,,
,16/01/21,Close Borrow,1,,,
5.25,16/01/21,Close Margin Trade,5,1.04973342,5.2486671,5.2486671
,16/01/21,Lend,1,,,
644.34,16/01/21,Margin Trade,9,71.5937877733333,644.34408996,644.34408996
126.77,16/01/21,Spot Trade,19,6.67220937947368,126.77197821,126.77197821
,16/01/21,UnLend,2,,,
,15/01/21,Lend,1,,,
,15/01/21,Margin Trade,3,,,
2030.63,15/01/21,Spot Trade,5,406.126459284,2030.63229642,2030.63229642
,15/01/21,UnLend,1,,,
,14/01/21,Spot Trade,5,,,
,13/01/21,Close Margin Trade,1,,,
,13/01/21,Lend,1,,,
15.74,13/01/21,Spot Trade,2,7.87042416,15.74084832,15.74084832
157.32,12/01/21,Close Margin Trade,3,52.4402357033333,157.32070711,157.32070711
,12/01/21,Margin Trade,1,,,
192.47,12/01/21,Spot Trade,6,32.07757738,192.46546428,192.46546428
400.09,12/01/21,UnLend,1,400.09397769,400.09397769,400.09397769
,11/01/21,Borrow,2,,,
,11/01/21,Close Borrow,2,,,
1125.1,11/01/21,Close Margin Trade,16,70.318462776875,1125.09540443,1125.09540443
,11/01/21,Lend,3,,,
338.93,11/01/21,Margin Trade,1,338.92885804,338.92885804,338.92885804
945.27,11/01/21,Spot Trade,18,52.5148780722222,945.2678053,945.2678053
,11/01/21,UnLend,1,,,
483.14,10/01/21,Close Margin Trade,2,241.569114755,483.13822951,483.13822951
,10/01/21,Lend,2,,,
483.14,10/01/21,Margin Trade,5,96.627645902,483.13822951,483.13822951
492.89,10/01/21,Spot Trade,7,70.4131958357143,492.89237085,492.89237085
,10/01/21,UnLend,1,,,
731.1,09/01/21,Close Margin Trade,11,66.46389983,731.10289813,731.10289813
,09/01/21,Increase Margin,1,,,
,09/01/21,Lend,8,,,
731.61,09/01/21,Margin Trade,12,60.9674365808333,731.60923897,731.60923897
744.7,09/01/21,Spot Trade,29,25.6792327534483,744.69774985,744.69774985
,09/01/21,UnLend,5,,,
241.31,08/01/21,Close Margin Trade,24,10.0544477145833,241.30674515,241.30674515
,08/01/21,Increase Margin,1,,,
400,08/01/21,Lend,15,26.6666666666667,400,400
449.07,08/01/21,Margin Trade,44,10.2061069352273,449.06870515,449.06870515
36805.68,08/01/21,Spot Trade,98,375.568157635306,36805.67944826,36805.67944826
,08/01/21,UnLend,5,,,
,07/01/21,Borrow,1,,,
4445.04,07/01/21,Close Margin Trade,49,90.7151695755102,4445.0433092,4445.0433092
,07/01/21,Increase Margin,1,,,
350,07/01/21,Lend,9,38.8888888888889,350,350
4871.39,07/01/21,Margin Trade,42,115.985498815238,4871.39095024,4871.39095024
86985.94,07/01/21,Spot Trade,242,359.446050205372,86985.9441497,86985.9441497
,07/01/21,UnLend,3,,,
,06/01/21,Borrow,4,,,
672.4,06/01/21,Close Margin Trade,34,19.7764617211765,672.39969852,672.39969852
,06/01/21,Increase Margin,2,,,
,06/01/21,Lend,25,,,
965.86,06/01/21,Margin Trade,57,16.944978307193,965.86376351,965.86376351
49353.12,06/01/21,Spot Trade,138,357.631315274638,49353.1215079,49353.1215079
,06/01/21,UnLend,3,,,
1564.88,05/01/21,Close Margin Trade,24,65.2035187770833,1564.88445065,1564.88445065
,05/01/21,Lend,12,,,
1966.01,05/01/21,Margin Trade,25,78.6404025768,1966.01006442,1966.01006442
6504.23,05/01/21,Spot Trade,62,104.906997612419,6504.23385197,6504.23385197
,05/01/21,UnLend,1,,,
121.23,04/01/21,Close Margin Trade,17,7.13121973235294,121.23073545,121.23073545
,04/01/21,Increase Margin,3,,,
,04/01/21,Lend,12,,,
593.03,04/01/21,Margin Trade,32,18.5320853509375,593.02673123,593.02673123
28858.82,04/01/21,Spot Trade,79,365.30156603557,28858.82371681,28858.82371681
,04/01/21,UnLend,2,,,
301.47,03/01/21,Close Margin Trade,7,43.0676172942857,301.47332106,301.47332106
,03/01/21,Increase Margin,1,,,
,03/01/21,Lend,4,,,
301.47,03/01/21,Margin Trade,9,33.4970356733333,301.47332106,301.47332106
8142.11,03/01/21,Spot Trade,26,313.157903366923,8142.10548754,8142.10548754
,03/01/21,UnLend,1,,,
65.21,02/01/21,Close Margin Trade,13,5.01594719384615,65.20731352,65.20731352
,02/01/21,Increase Margin,2,,,
,02/01/21,Lend,2,,,
236.72,02/01/21,Margin Trade,8,29.590260955,236.72208764,236.72208764
9362.13,02/01/21,Spot Trade,27,346.745428217778,9362.12656188,9362.12656188
,02/01/21,UnLend,1,,,
,01/01/21,Borrow,1,,,
0.46,01/01/21,Close Margin Trade,4,0.1152603775,0.46104151,0.46104151
,01/01/21,Lend,4,,,
,01/01/21,Margin Trade,5,,,
1889.69,01/01/21,Spot Trade,14,134.978145140714,1889.69403197,1889.69403197
,01/01/21,UnLend,1,,,
,31/12/20,Borrow,2,,,
,31/12/20,Close Borrow,2,,,
,31/12/20,Close Margin Trade,6,,,
,31/12/20,Margin Trade,5,,,
1828.04,31/12/20,Spot Trade,12,152.336875029167,1828.04250035,1828.04250035
,30/12/20,Borrow,3,,,
0.69,30/12/20,Close Borrow,1,0.68581801,0.68581801,0.68581801
134.17,30/12/20,Close Margin Trade,10,13.417192357,134.17192357,134.17192357
,30/12/20,Lend,3,,,
134.17,30/12/20,Margin Trade,9,14.9079915077778,134.17192357,134.17192357
31035.49,30/12/20,Spot Trade,21,1477.88062107286,31035.49304253,31035.49304253
,30/12/20,UnLend,2,,,
0.41,29/12/20,Borrow,1,0.40644318,0.40644318,0.40644318
,29/12/20,Close Margin Trade,3,,,
,29/12/20,Increase Margin,1,,,
,29/12/20,Lend,1,,,
,29/12/20,Margin Trade,4,,,
35152.56,29/12/20,Spot Trade,7,5021.79367173714,35152.55570216,35152.55570216
,29/12/20,UnLend,1,,,
,28/12/20,Close Margin Trade,11,,,
,28/12/20,Lend,1,,,
245.49,28/12/20,Margin Trade,8,30.68602426375,245.48819411,245.48819411
32530.24,28/12/20,Spot Trade,22,1478.64730695455,32530.240753,32530.240753
,27/12/20,Close Margin Trade,3,,,
,27/12/20,Increase Margin,2,,,
,27/12/20,Lend,2,,,
,27/12/20,Margin Trade,7,,,
11075.57,27/12/20,Spot Trade,13,851.966729399231,11075.56748219,11075.56748219
,27/12/20,UnLend,1,,,
,26/12/20,Borrow,1,,,
3057.56,26/12/20,Close Margin Trade,9,339.729015604444,3057.56114044,3057.56114044
,26/12/20,Increase Margin,1,,,
,26/12/20,Lend,2,,,
154.56,26/12/20,Margin Trade,13,11.8888932115385,154.55561175,154.55561175
12235.88,26/12/20,Spot Trade,29,421.926758730345,12235.87600318,12235.87600318
,26/12/20,UnLend,1,,,
,25/12/20,Borrow,1,,,
,25/12/20,Close Margin Trade,4,,,
,25/12/20,Lend,2,,,
2865.21,25/12/20,Margin Trade,2,1432.60462215,2865.2092443,2865.2092443
1096.58,25/12/20,Spot Trade,8,137.0725090325,1096.58007226,1096.58007226
,24/12/20,Close Margin Trade,2,,,
,24/12/20,Lend,2,,,
,24/12/20,Margin Trade,3,,,
47.83,24/12/20,Spot Trade,6,7.97111502,47.82669012,47.82669012
487.69,23/12/20,Close Margin Trade,4,121.9220256125,487.68810245,487.68810245
23.86,23/12/20,Increase Margin,1,23.85938849,23.85938849,23.85938849
,23/12/20,Lend,7,,,
547.58,23/12/20,Margin Trade,5,109.515468484,547.57734242,547.57734242
343.69,23/12/20,Spot Trade,14,24.5493164392857,343.69043015,343.69043015
,23/12/20,UnLend,1,,,
,22/12/20,Lend,1,,,
,22/12/20,Margin Trade,2,,,
63.8,22/12/20,Spot Trade,2,31.902090975,63.80418195,63.80418195
